,topic_Abu Dhabi,tweet_volume_Abu Dhabi
0,Butter,1507581
1,Oscar,1099889
2,Money,851031
3,#방탄소년단,605893
4,jungkook,463848
5,Mark,418574
6,namjoon,371334
7,jeno,368497
8,jaemin,338949
9,Bitcoin,303586
10,Lisa,253979
11,HAECHAN,220653
12,Lovely,216207
13,Chanyeol,176259
14,Ramadan,142459
15,Nigeria,140227
16,Bangtan,132849
17,Paris,132650
18,١٤ رمضان,110380
19,14 رمضان,110296
20,Correct,105832
21,sehun,98931
22,Messi,94917
23,Germany,79829
24,Chelsea,74929
25,PM Cares,57934
26,Turkey,57373
27,McDonalds,52326
28,Drake,45116
29,Dubai,44222
30,Iftar,43626
31,Ronaldo,43027
32,Neymar,41336
33,Yess,37224
34,Pakistani,22288
35,Uganda,16553
36,الوحدة,15867
37,#JusticeQaziFaezIsa,15044
38,Om Shanti,14263
39,#SupremeCourt,12151
40,Abu Dhabi,10419
41,الامارات العربيه المتحده,
42,#Egypt,
43,عقب الفطور,
44,علي السلامه,
45,هون علي,
46,حسن الحياه,
47,هزاع المنصوري,
48,Ofcourse,
49,,
