,topic_Colombia,tweet_volume_Colombia
0,#ENHYPEN,1604889
1,#방탄소년단,638573
2,#BTS_Butter,470378
3,QUE ES ESTO,186827
4,BTS IS COMING,100167
5,Don Gato,75519
6,McDonald,67141
7,Sputnik,54018
8,Raúl,48547
9,BILLIE,44005
10,Auron,30874
11,#FelizLunes,29244
12,Transmilenio,25456
13,Rusa,15626
14,Irresponsable,15369
15,Claudia López,12969
16,#HacerParoEs,12648
17,Andes,10239
18,#YoNoMarchoYoProduzco,
19,#InvimaAsesino,
20,Tunja,
21,Julito,
22,ESMAD,
23,Manizales,
24,Zipaquirá,
25,UCIs,
26,techo,
27,#DíaDeLaSecretaria,
28,#primertoque,
29,#DíasDeIronMaiden,
30,#ReformaTributaria2021,
31,#unoscarpara,
32,#ColegiosYMarchas,
33,#Barrancabermeja,
34,#Matarife2,
35,#LaReinaDelFlow2,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
