,topic_Concepcion,tweet_volume_Concepcion
0,El 1%,392224
1,El 2%,270310
2,#BTS_Butter,257657
3,Lucas,214443
4,HAECHAN,200342
5,QUE ES ESTO,182271
6,Piñera,150359
7,CHENLE,139201
8,Bangtan,121511
9,Winter,112435
10,Mario,100590
11,Congreso,93467
12,Pdte,66915
13,Mantequilla,39491
14,mostra,37181
15,Ignorancia,27612
16,Ignorante,24357
17,pensiones,23868
18,ITZY IS DIFFERENT,21541
19,Holan,21195
20,Marcela,14637
21,Javiera Parada,14035
22,Erick,11797
23,AFPs,11649
24,Renato,11168
25,INDIVIDUALES,10637
26,#ContigoCHV,
27,Bellolio,
28,#CuarentenaMG,
29,#ContigoEnLaManana,
30,#BuenosDiasTVN,
31,Julio César,
32,McDonalds,
33,Monse,
34,Pymes,
35,Moreira,
36,Proyecto de Ley,
37,Julito,
38,Letelier,
39,beñat,
40,Cadem,
41,Neva,
42,Goic,
43,"0,3 UF",
44,Aprueben,
45,Poyet,
46,SENAME,
47,Pame,
48,blumel,
49,Ossa,
