,topic_Dominican Republic,tweet_volume_Dominican Republic
0,Óscar,1098243
1,COVID-19,1049768
2,#방탄소년단,638573
3,Biden,570227
4,#BTS_Butter,468471
5,El Gobierno,331868
6,Alex,186881
7,Doctor,179135
8,Amén,151683
9,Feliz Día,122305
10,Congreso,96720
11,Italia,83446
12,Reyes,79541
13,Francia,43363
14,Estados Unidos,42718
15,Bendiciones,41853
16,Auron,30679
17,Pero Dios,30659
18,Maestro,29982
19,#FelizLunes,29202
20,Osea,26774
21,Rusia,25871
22,Hoy 26,21492
23,Biblia,20096
24,Américas,14452
25,Salud Pública,12348
26,Ladrones,12327
27,Danilo,12195
28,#diadelasecretaria,
29,#EstoNoEsRadio,
30,secretarias,
31,Milagros Germán,
32,tolentino,
33,alfredo pacheco,
34,Adam Cáceres,
35,San Cristóbal,
36,Jehová,
37,Código Penal,
38,Gloria a Dios,
39,Naciones Unidas,
40,Punta Cana,
41,LEA MÁS,
42,El PLD,
43,Muchas Felicidades,
44,danilato,
45,Semana Santa,
46,Consejo de Gobierno,
47,Estimado,
48,Luis Abinader,
49,Listín Diario,
