,topic,tweet_volume
0,Butter,1766836
1,Oscar,1098871
2,Google,603124
3,Johnson & Johnson,258891
4,Jake,255603
5,Pfizer,222854
6,The Father,164428
7,Europe,114853
8,joon,67940
9,McDonald,67141
10,Moderna,59988
11,Sputnik,54018
12,Italy,50645
13,BILLIE,44005
14,mRNA,24095
15,Greek,17223
16,Γιατι,15228
17,#shoppingstar,
18,#HouseOfFameGR,
19,Βενια,
20,Πηνελοπη,
21,Μεταξοπουλος,
22,Ντινο,
23,#megalivenews,
24,#τσερνομπιλ,
25,AstraZeneca,
26,Μαριαννα,
27,#Εμβολιο,
28,κομισιον,
29,Βυρωνα,
30,Λινου,
31,Καλησπερα,
32,κανει,
33,προβαδισμα 16%,
34,Περαστικα,
35,Ματι,
36,Χανια,
37,Μηπως,
38,Επειδη,
39,Νυμφιου,
40,Ευρωπης,
41,εξαρταται,
42,πηγαινε,
43,Μακαρι,
44,Σοβαρα,
45,Αγιο Φως,
46,Μπραβο,
47,υπομονη,
48,Γερμανια,
49,γενευη,
